"Polarity","Adduct.type","Average.Rt.min.","Average.Mz","Metabolite.curated","Ontology","Alignment.ID"
"Pos","[M+NH4]+",25.726,1071.00513,"TG 18:1_18:1_30:1","TG",63734
"Pos","[M+NH4]+",25.729,1044.98926,"TG 16:0_18:1_30:1","TG",62547
"Pos","[M+NH4]+",25.737,1018.97375,"TG 18:0_26:0_18:1","TG",61047
"Pos","[M+NH4]+",25.741,992.95819,"TG 16:0_18:0_26:0","TG",59366
"Pos","[M+NH4]+",25.939,1099.03638,"TG 18:1_18:1_32:1","TG",64763
"Pos","[M+NH4]+",25.948,1073.02051,"TG 16:0_18:1_32:1","TG",63819
"Pos","[M+NH4]+",25.954,1047.00464,"TG 16:0_16:0_32:1","TG",62620
"Neg","[M-H]-",9.839,865.50195,"PG 22:6_22:6","PG",42428
"Neg","[M-H]-",10,791.48663,"PG 16:1_22:6","PG",38083
"Neg","[M-H]-",10.066,867.51764,"PG 22:5_22:6","PG",42534
"Neg","[M-H]-",10.115,791.48639,"PG 16:1_22:6","PG",38082
"Neg","[M-H]-",10.152,867.5174,"PG 22:5_22:6","PG",42533
"Neg","[M-H]-",10.314,717.47107,"PG 16:1_16:1","PG",33548
"Neg","[M-H]-",10.72,793.5022,"PG 16:0_22:6","PG",38188
"Neg","[M-H]-",10.825,819.51764,"PG 18:1_22:6","PG",39774
"Neg","[M-H]-",10.848,793.50226,"PG 16:0_22:6","PG",38189
"Neg","[M-H]-",10.98,819.51788,"PG 18:1_22:6","PG",39775
"Neg","[M-H]-",11.034,719.48688,"PG 16:0_16:1","PG",33660
"Neg","[M-H]-",11.055,795.51764,"PG 18:1_20:4","PG",38305
"Neg","[M-H]-",11.072,745.50214,"PG 16:1_18:1","PG",35261
"Neg","[M-H]-",11.096,821.53369,"PG 18:1_22:5","PG",39894
"Neg","[M-H]-",11.161,719.48669,"PG 16:0_16:1","PG",33658
"Neg","[M-H]-",11.194,795.51807,"PG 18:1_20:4","PG",38306
"Neg","[M-H]-",11.204,745.50354,"PG 16:1_18:1","PG",35263
"Neg","[M-H]-",11.237,821.53394,"PG 18:1_22:5","PG",39896
"Neg","[M-H]-",11.352,771.5177,"PG 18:1_18:2","PG",36869
"Neg","[M-H]-",11.46,771.5177,"PG 18:1_18:2","PG",36868
"Neg","[M-H]-",11.559,693.47107,"PG 14:0_16:0","PG",32007
"Neg","[M-H]-",11.654,769.50195,"PG 16:0_20:4","PG",36750
"Neg","[M-H]-",11.658,719.48657,"PG 16:0_16:1","PG",33656
